ID,duLN1,du.2,duLN3,dut4,dui5,due6,duLN7,du58,duLN9,duSH10,dur11,duo12,dua13,dun14,dul15,duDO16,tsizeLN1,tisze.2,tsizeLN3,tsizet4,tsizei5,tsizee6,tsizeLN7,tsize58,tsizeLN9,tsizeSH10,tsizer11,tsizeo12,tsizea13,tsizen14,tsizel15,tsizeDO16,UUID
0,96.0,83.0,80.0,82.0,111.0,83.0,69.0,82.0,96.0,97.0,83.0,97.0,96.0,97.0,83.0,68.0,0.011764707043766977,0.02352941408753395,0.021568628028035164,0.027450982481241226,0.027450982481241226,0.013725491240620613,0.025490198284387592,0.029411766678094864,0.021568628028035164,0.011764707043766977,0.021568628028035164,0.027450982481241226,0.017647059634327892,0.021568628028035164,0.01568627543747425,0.011764707043766977,test1
1,80.0,82.0,111.0,83.0,69.0,82.0,96.0,97.0,83.0,97.0,96.0,97.0,83.0,68.0,79.0,97.0,0.021568628028035164,0.027450982481241226,0.027450982481241226,0.013725491240620613,0.025490198284387592,0.029411766678094864,0.021568628028035164,0.011764707043766977,0.021568628028035164,0.027450982481241226,0.017647059634327892,0.021568628028035164,0.01568627543747425,0.011764707043766977,0.02352941408753395,0.01568627543747425,test1
2,69.0,82.0,96.0,97.0,83.0,97.0,96.0,97.0,83.0,68.0,79.0,97.0,82.0,98.0,125.0,97.0,0.025490198284387592,0.029411766678094864,0.021568628028035164,0.011764707043766977,0.021568628028035164,0.027450982481241226,0.017647059634327892,0.021568628028035164,0.01568627543747425,0.011764707043766977,0.02352941408753395,0.01568627543747425,0.021568628028035164,0.0313725508749485,0.027450982481241226,0.021568628028035164,test1
3,96.0,97.0,83.0,97.0,96.0,97.0,83.0,68.0,79.0,97.0,82.0,98.0,125.0,97.0,69.0,66.0,0.021568628028035164,0.011764707043766977,0.021568628028035164,0.027450982481241226,0.017647059634327892,0.021568628028035164,0.01568627543747425,0.011764707043766977,0.02352941408753395,0.01568627543747425,0.021568628028035164,0.0313725508749485,0.027450982481241226,0.021568628028035164,0.021568628028035164,0.027450982481241226,test1
4,79.0,97.0,82.0,98.0,125.0,97.0,69.0,66.0,83.0,110.0,111.0,83.0,97.0,83.0,55.0,83.0,0.02352941408753395,0.01568627543747425,0.021568628028035164,0.0313725508749485,0.027450982481241226,0.021568628028035164,0.021568628028035164,0.027450982481241226,0.01960784383118153,0.011764707043766977,0.01960784383118153,0.029411766678094864,0.02352941408753395,0.027450982481241226,0.011764707043766977,0.011764707043766977,test1
5,82.0,98.0,125.0,97.0,69.0,66.0,83.0,110.0,111.0,83.0,97.0,83.0,55.0,83.0,83.0,96.0,0.021568628028035164,0.0313725508749485,0.027450982481241226,0.021568628028035164,0.021568628028035164,0.027450982481241226,0.01960784383118153,0.011764707043766977,0.01960784383118153,0.029411766678094864,0.02352941408753395,0.027450982481241226,0.011764707043766977,0.011764707043766977,0.021568628028035164,0.011764707043766977,test1
7,83.0,110.0,111.0,83.0,97.0,83.0,55.0,83.0,83.0,96.0,68.0,110.0,83.0,69.0,69.0,69.0,0.01960784383118153,0.011764707043766977,0.01960784383118153,0.029411766678094864,0.02352941408753395,0.027450982481241226,0.011764707043766977,0.011764707043766977,0.021568628028035164,0.011764707043766977,0.01960784383118153,0.025490198284387592,0.0313725508749485,0.01960784383118153,0.009803921915590765,0.0313725508749485,test1
8,83.0,96.0,68.0,110.0,83.0,69.0,69.0,69.0,82.0,83.0,124.0,83.0,85.0,97.0,69.0,81.0,0.021568628028035164,0.011764707043766977,0.01960784383118153,0.025490198284387592,0.0313725508749485,0.01960784383118153,0.009803921915590765,0.0313725508749485,0.0313725508749485,0.011764707043766977,0.021568628028035164,0.025490198284387592,0.01960784383118153,0.025490198284387592,0.005882353521883489,0.01960784383118153,test1
9,68.0,110.0,83.0,69.0,69.0,69.0,82.0,83.0,124.0,83.0,85.0,97.0,69.0,81.0,97.0,83.0,0.01960784383118153,0.025490198284387592,0.0313725508749485,0.01960784383118153,0.009803921915590765,0.0313725508749485,0.0313725508749485,0.011764707043766977,0.021568628028035164,0.025490198284387592,0.01960784383118153,0.025490198284387592,0.005882353521883489,0.01960784383118153,0.013725491240620613,0.017647059634327892,test1
10,67.0,67.0,82.0,68.0,54.0,67.0,81.0,53.0,68.0,54.0,40.0,81.0,95.0,68.0,82.0,67.0,0.011764707043766977,0.01568627543747425,0.009803921915590765,0.025490198284387592,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.011764707043766977,0.029411766678094864,0.01960784383118153,0.0313725508749485,0.021568628028035164,0.01960784383118153,0.021568628028035164,0.007843137718737125,test2
